username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019/07/12 20:54;0;0;"Autonomous car: PSA takes another step in driving https://ift.tt/2JzWmet ";;;;"1149769018984804352";https://twitter.com/ClubiNews/status/1149769018984804352
;2019/07/12 18:15;5;13;"Pittsburgh mayor @billpeduto addresses the #whiskeyrebelliontrail launch. Notes growth of small booze makers in the area, and large investment by @VW in autonomous car research. Broad view of the trail, beyond whiskey. Urban-rural connection. Good points. #whiskeyunitesuspic.twitter.com/KfekUlcN1t";;@billpeduto @VW;#whiskeyrebelliontrail #whiskeyunitesuspic;"1149728955521490944";https://twitter.com/lewbryson/status/1149728955521490944
;2019/07/12 17:01;0;2;"Ford And @Volkswagen Are Ready To Work Together. But what will the two companies collaborate on? #autonomouscar #electriccar #industrynews #truck #van Read: http://car.bz/si3xlf1 pic.twitter.com/q4BfI26xnq";;@Volkswagen;#autonomouscar #electriccar #industrynews #truck #van;"1149710416555020289";https://twitter.com/CarBuzzcom/status/1149710416555020289
;2019/07/12 15:18;0;0;"Another incredible moment from Goodwood Festival of Speed was the first ever autonomous car, DevBot 2.0, completing a timed run in AI mode. Check out the video below from Roborace. #FOS #Roboracepic.twitter.com/udbf4qSKHB";;;#FOS #Roboracepic;"1149684381566603264";https://twitter.com/Oracle_Finance/status/1149684381566603264
;2019/07/12 13:34;25;325;"The year 2050 U buckle up sitting rear-facing in an autonomous car taking you to lunch, updating your status with a smart contact lens, listening to best of 2019 from pea sized device deep in ear called iwhisper. U arrive at Spangles where its decor is now Eminem and Lady Gaga";;;;"1149658249513205760";https://twitter.com/TrooperBenKHP/status/1149658249513205760
;2019/07/12 12:38;2;5;"At the #britishgp ? Come see our autonomous car at the UTC and say hello #FS2019pic.twitter.com/FhYEXSJAh2";;;#britishgp #FS2019pic;"1149644313170608130";https://twitter.com/FormulaStudent/status/1149644313170608130
;2019/07/12 09:57;0;0;"Ford and Volkswagen will announce further details on an agreement to share electric and autonomous car technologies at a press and investor conference on Friday. #car https://europe.autonews.com/automakers/ford-vw-poised-share-alliance-details …pic.twitter.com/on2vMZMs9s";;;#car;"1149603690694582273";https://twitter.com/dilipvrk/status/1149603690694582273
;2019/07/11 18:02;0;2;"The first #AWSDeepRacer workshop was a full house! We're doing it again at 2.00pm, come by if you have not done it yet. Train your ML model to race an autonomous car on the NYC Speedway in the Expo Hall #AWSSummitpic.twitter.com/9bgMgzKlgz";;;#AWSDeepRacer #AWSSummitpic;"1149363329728733185";https://twitter.com/somecloudguy/status/1149363329728733185
;2019/07/11 17:42;5;11;"Roborace has set a new record by becoming the first autonomous car to complete the world's oldest track. #artificialintelligence #autonomousCar #autonomousvehicles #futuretech #selfdriving #robots #megatrends #smm #cto #ibm @adamcarolla pic.twitter.com/K7Jj92cTjU TY, @evankirstel";;@adamcarolla @evankirstel;#artificialintelligence #autonomousCar #autonomousvehicles #futuretech #selfdriving #robots #megatrends #smm #cto #ibm;"1149358186304090112";https://twitter.com/Thomas_Harrer/status/1149358186304090112
;2019/07/11 05:47;0;4;"Our COBALT Scholars diligently observe a presentation on a 2nd Level Autonomous Car designed by the University of Washington’s students. pic.twitter.com/xOekok45Vb";;;;"1149178413027958786";https://twitter.com/WASBlueTeam/status/1149178413027958786
;2019/07/10 19:44;0;3;"I think you should bring back the Cygnet but in a hybrid form. I’d love a Cyngulato! Haha! No one I know trusts an autonomous car and is freaked out by them. I also have privacy concerns regarding their data collection. pic.twitter.com/6rCAWdurvJ";;;;"1149026508440252417";https://twitter.com/iq_scion/status/1149026508440252417
;2019/07/10 15:30;4;13;"An all-optical neural network on a single chip https://buff.ly/2xGiUDi  #DeepLearning #MachineLearning #AI #DataScience #NeuralNetworks #CNN #Reinforcement #Learning #DeepRL #GPU #TensorFlow #Keras #Caffe #Pytorch #Python #HPC #Robotics #AutonomousCar #Quant";;;#DeepLearning #MachineLearning #AI #DataScience #NeuralNetworks #CNN #Reinforcement #Learning #DeepRL #GPU #TensorFlow #Keras #Caffe #Pytorch #Python #HPC #Robotics #AutonomousCar #Quant;"1148962680453177344";https://twitter.com/Deep_In_Depth/status/1148962680453177344
;2019/07/10 13:45;0;0;"Host Jessica Chobot gets behind the self-driving wheel of an autonomous car in the premiere of the new podcast AI: Hype vs. Reality. http://bit.ly/2Lj7rSb  #Iwork4Dellpic.twitter.com/2OVZghIhjF";;;#Iwork4Dellpic;"1148936213551812608";https://twitter.com/FarinaAtDell/status/1148936213551812608
;2019/07/10 06:29;2;2;"@nvidia and @volvocars announced a plan to collaborate on self-driving trucks. Volvo will integrate Nvidia’s #AI and #autonomous car technology to build smart, connected trucks that can provide new services in multiple industries. http://httpslink.com/9f22aa09b38 pic.twitter.com/EzZFnUEVAY";;@nvidia @volvocars;#AI #autonomous;"1148826448305651712";https://twitter.com/matthias_h_volk/status/1148826448305651712
;2019/07/10 00:12;41;34;"It took #China 10 years to get from 0 to over 1 million #electriccar sales in a single year. Full year market share in 2018 was 4.48%. #AI #Autonomouscar #SmartCities Via @Thematicafunds @MikeQuindazzi @MusicComposer1 @Paula_Piccard @GlenGilmore @TheRudinGroup @UrsBolt @leimerpic.twitter.com/9q3PTPNmRn";;@Thematicafunds @MikeQuindazzi @MusicComposer1 @Paula_Piccard @GlenGilmore @TheRudinGroup @UrsBolt @leimerpic;#China #electriccar #AI #Autonomouscar #SmartCities;"1148731729403895810";https://twitter.com/alvinfoo/status/1148731729403895810
;2019/07/09 20:07;0;4;"#BWSI19 1st Rule of RACECAR- Don't run over the Lead Instructor with your autonomous car! pic.twitter.com/gdRQUdN2lW";;;#BWSI19;"1148669913348882432";https://twitter.com/BWSI3/status/1148669913348882432
;2019/07/09 16:19;0;0;"Car Expo Info Volkswagen, Ford reach outline agreement on EV, autonomous car alliance – VW to share MEB platform http://autocartechnews.com/volkswagen-ford-reach-outline-agreement-on-ev-autonomous-car-alliance-vw-to-share-meb-platform/ … #automobilenews #carworldnewspic.twitter.com/f5Z50m1dar";;;#automobilenews #carworldnewspic;"1148612719580340224";https://twitter.com/CarExpoInfo/status/1148612719580340224
