username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019/07/12 18:21;1;0;"Did you know: About 40% of auto industry profits will be advanced through #mobility tech by 2035. See how automotive companies can benefit from SAP to transform business models with intelligent technologies for competitive differentiation http://sap.to/6019Ev34N pic.twitter.com/4bi94Q04jn";;;#mobility;"1149730391206576139";https://twitter.com/SAPAutomotive/status/1149730391206576139
;2019/07/12 17:32;0;0;"The #safest #accident is the one that never happens, so #automotive #technology has ways to reduce your #risk. #pedestriandetection #radarcruisecontrol #lanedeparturealert #intelligent highbeams #speeding #drunkdriving #distracteddriving http://bit.ly/32iNssW pic.twitter.com/i1IpfaaF3E";;;#safest #accident #automotive #technology #risk #pedestriandetection #radarcruisecontrol #lanedeparturealert #intelligent #speeding #drunkdriving #distracteddriving;"1149718121432981504";https://twitter.com/NAPSnews/status/1149718121432981504
;2019/07/12 17:10;0;0;"Experience data-driven capabilities in #vehicle safety by leveraging the SAP Intelligent Suite for enhanced efficiency in automotive manufacturing. Read this informative asset for a deeper understanding: http://sap.to/6012Etq9E pic.twitter.com/pppzbsFvOc";;;#vehicle;"1149712552781320192";https://twitter.com/SAPAutomotive/status/1149712552781320192
;2019/07/12 11:45;0;1;"What is the best software solution option for automotive suppliers focusing on successfully implementing intelligent ERP? @digitalistmag discusses the advantages of moving to the #cloud: http://sap.to/6016Ev3es pic.twitter.com/F3oFSf0oq5";;@digitalistmag;#cloud;"1149630737466843136";https://twitter.com/SAPAutomotive/status/1149630737466843136
;2019/07/12 10:07;0;1;"The development of electromobility brings benefits not only to the automotive or energy industries. Electric cars need innovative solutions in the field of the Internet of Things and advanced IT systems. The biggest challenge is intelligent energy... (1/2) pic.twitter.com/ixxDg4VfPe";;;;"1149606265112317952";https://twitter.com/ERafako/status/1149606265112317952
;2019/07/12 09:25;1;3;"The 5G Automotive Association welcomes the @EUCouncil's objection against the proposal for Delegated Regulation on Cooperative Intelligent Transport Systems (C-ITS), as a clear signal of support to technology neutrality. Read more here: http://ow.ly/n5Ov50uZaz2  #5GMobilitypic.twitter.com/qsrmAjEIEZ";;@EUCouncil;#5GMobilitypic;"1149595509687873536";https://twitter.com/5GAA_official/status/1149595509687873536
;2019/07/11 14:30;0;2;"Frost and Sullivan is killing it at their intelligent mobility conference today. Schwetha Surender presenting her findings now. She predicts that in 2040 in urban cities 35% of households will own cars. Vs 85%in 1990s. @FS_Automotive #intelligentmobilitypic.twitter.com/cyMrSBxCmA";;@FS_Automotive;#intelligentmobilitypic;"1149310080229236736";https://twitter.com/cyberdoggie/status/1149310080229236736
;2019/07/10 11:56;1;1;"The wait is finally over! @FS_Automotive annual #IntelligentMobility 2-day event starts today: #HouseOfCommons debate, Awards Banquet, @Frost_Sullivan’s Intelligent Mobility 2019 Summit tomorrow. http://ow.ly/lqeu50uXkrE pic.twitter.com/n48M2Og5Fw";;@FS_Automotive @Frost_Sullivan;#IntelligentMobility #HouseOfCommons;"1148908858435350528";https://twitter.com/FS_Automotive/status/1148908858435350528
;2019/07/10 08:09;0;2;"Automated Traffic Monitoring: Unpacking Intelligent Transportation Solutions https://bit.ly/2RLW8TI  #Automotive #logistics #TechnologyNews #techpic.twitter.com/jM9L5y3VIz";;;#Automotive #logistics #TechnologyNews #techpic;"1148851615736008707";https://twitter.com/margwilli1/status/1148851615736008707
;2019/07/09 20:27;0;1;"This @digitalistmag blog highlights the potential for intelligent automotive innovation with the right blend of human skills and predictive technologies to capitalize on #data and deliver successful outcomes http://sap.to/6011EQgdS pic.twitter.com/yPkFNdj4aS";;@digitalistmag;#data;"1148674937592438785";https://twitter.com/SAPAutomotive/status/1148674937592438785
