username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019/07/12 16:44;0;0;"The Egyptian armed forces denies owning Dabsi Intelligent Transport Company https://ift.tt/2G91bJu pic.twitter.com/dSkfSIK435";;;;"1149706089887350784";https://twitter.com/BusinesNews_/status/1149706089887350784
;2019/07/12 09:25;1;3;"The 5G Automotive Association welcomes the @EUCouncil's objection against the proposal for Delegated Regulation on Cooperative Intelligent Transport Systems (C-ITS), as a clear signal of support to technology neutrality. Read more here: http://ow.ly/n5Ov50uZaz2  #5GMobilitypic.twitter.com/qsrmAjEIEZ";;@EUCouncil;#5GMobilitypic;"1149595509687873536";https://twitter.com/5GAA_official/status/1149595509687873536
;2019/07/12 08:26;1;2;"Berliners could be paying the equivalent of €1 a day for their public transport as mayor Michael Müller sets his sights on the Vienna Model http://bit.ly/32mugdI pic.twitter.com/mBbQ4OSlEH";;;;"1149580886314123264";https://twitter.com/IntelTransport/status/1149580886314123264
;2019/07/12 05:40;0;0;"malaysia transport system is much more better than indonesia. #proudenough (@ Surabaya Intelligent Transport System) https://www.swarmapp.com/c/5lbbd68jyjB pic.twitter.com/dSfEonl44d";;@;#proudenough;"1149539113390841856";https://twitter.com/momotaro1298/status/1149539113390841856
;2019/07/11 13:10;0;2;"Intelligent transport systems, help transport more people with ease using public transport. It help save cost & fuel. pic.twitter.com/GzrkWNFXDa";;;;"1149289838996144128";https://twitter.com/pksden/status/1149289838996144128
;2019/07/11 12:19;0;0;"Demand responsive transport has potential to grow to $200bn industry says Shwetha Surender @Frost_Sullivan Intelligent Mobility conference. Interesting new #mobility development #DRTpic.twitter.com/8psSlX9YBr";;@Frost_Sullivan;#mobility #DRTpic;"1149276962805993472";https://twitter.com/RalphMorton/status/1149276962805993472
;2019/07/10 22:00;1;2;"Read this blog by Punit Kulkarni - Head, DTS Marketing, HCS to learn how high-speed connectivity & edge server connectivity will help in providing connected solutions like V2V communication, Intelligent Transport System & more for traffic solutions: https://buff.ly/2NOsqPC pic.twitter.com/aJno0KkUhR";;;;"1149060886419640323";https://twitter.com/HARMANservices/status/1149060886419640323
;2019/07/10 16:42;0;0;"Milan choose Solaris to supply up to 250 electric buses – Intelligent Transport https://milaninformer.com/112658/milan-choose-solaris-to-supply-up-to-250-electric-buses-intelligent-transport/ …pic.twitter.com/POcKDO05rg";;;;"1148980764610060289";https://twitter.com/milaninformer/status/1148980764610060289
;2019/07/10 15:48;1;1;"The 26th World Congress on Intelligent Transport Systems is held on 21-25 October in Singapore. See the full programme and register https://itsworldcongress2019.com/  Congress theme: #SmartMobility, #EmpoweringCities”!pic.twitter.com/pmSCbOUkQj";;;#SmartMobility #EmpoweringCities;"1148967295399673856";https://twitter.com/ELASTIC_EU/status/1148967295399673856
;2019/07/10 13:37;0;0;"Recent research: Intelligent Railway Transport System market global trends & forecast to 2025 http://dlvr.it/R88FYn  #Featured #AutomotiveandTransportationpic.twitter.com/S0LIncZRw5";;;#Featured #AutomotiveandTransportationpic;"1148934173693841409";https://twitter.com/XmarketReports/status/1148934173693841409
