username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019/07/12 23:29;0;0;"Buy Art? Sell Art? == Ship SmArt with us! We're a Fine Art Transportation Co. servicing artists, galleries, museums, and private collectors. We have 9 Mercedes Vans continuously covering the ENTIRE continental U.S. quotes@itransport4u.com Or visit us at: http://www.itransport4u.com pic.twitter.com/P0NiSPTXnk";;@itransport4u;;"1149807909083045888";https://twitter.com/itransport4u/status/1149807909083045888
;2019/07/12 23:27;0;1;"Video gives you the full insight to what's happening on the road and the context behind it! http://bit.ly/2LRZgwD  #trucking #transportation pic.twitter.com/vjLWyoOJk0";;;#trucking #transportation;"1149807543235043328";https://twitter.com/SmartDriveInc/status/1149807543235043328
;2019/07/12 21:46;9;57;"Love trams! An excellent component of good urban transportation solutions ... assuming smart road sharing approaches. pic.twitter.com/rRu5DOeh2O";;;;"1149782014863826945";https://twitter.com/elerianm/status/1149782014863826945
;2019/07/12 20:30;0;0;"Role of 5G for Smart Transportation discussion was a success at #SEMICONWEST!pic.twitter.com/IbHK8KufYT";;;#SEMICONWEST;"1149763066436784129";https://twitter.com/AlphaOmega_Semi/status/1149763066436784129
;2019/07/12 18:28;0;0;"On July 15th, 1916, the company Boeing Airplane Co. was founded. From designing airplanes, and creating the newest cutting edge transportation and communication technology, Boeing has opened so many new doors for people - and we think that's pretty smart. #ThisDayInHistorypic.twitter.com/ROykCiOO8M";;;#ThisDayInHistorypic;"1149732292253929472";https://twitter.com/IncThatsmart/status/1149732292253929472
;2019/07/12 17:41;1;1;"Muhammed Lamin Dibba A Better, Saver, Resilient and Inclusive Cities for All Innovation: The City We Want: Role of Technology in Transportation and Education Smart Infrastructure – This will enable sensor data and advanced analysis techniques such as machine learning to provide pic.twitter.com/2CnddL3iXh";;;;"1149720559669907458";https://twitter.com/GambiaNYC/status/1149720559669907458
;2019/07/12 17:00;0;0;"Columbus, OH won the Department of Transportation's #SmartCIty grants, positioning itself to be a leader in the #Midwest. Curious how they have begun implementing smart solutions? @Forbes takes a look at the progress. https://www.forbes.com/sites/rebeccafannin/2019/07/06/from-cow-town-to-smart-city-can-central-ohio-make-the-grade/#401c2f054ed2 …pic.twitter.com/RFOmUtsyRJ";;@Forbes;#SmartCIty #Midwest #401c2f054ed2;"1149710182060085249";https://twitter.com/ESI_Consult/status/1149710182060085249
;2019/07/12 14:35;1;2;"Teresa Harms at #IATUR2019: wearable technology like smart watches and body cams can be used to provide valuable context for #timeuse data— things like transportation mode choice, travel conditions, and local contexts. pic.twitter.com/iGW6LJKCzN";;;#IATUR2019 #timeuse;"1149673571612078083";https://twitter.com/HL_Randolph/status/1149673571612078083
;2019/07/12 14:05;0;0;"#eCoBus (Electrified Cooperative Bus System) project with @mobilab_lu , a workshop on next generation #transportation systems: Smart, Autonomous, Multimodal, Connected, Electrified. pic.twitter.com/SEoIjVW4Cc";;@mobilab_lu;#eCoBus #transportation;"1149666154891247616";https://twitter.com/giulio2g/status/1149666154891247616
;2019/07/12 13:38;0;0;"Make the leap to a smarter world by installing #LocoMobiWorld’s smart #transportation products in your facility or residential development. Head to our website to learn more about we do: https://bit.ly/2LH8pYI pic.twitter.com/gyONshGNhH";;;#LocoMobiWorld #transportation;"1149659176622104577";https://twitter.com/locomobiworld/status/1149659176622104577
;2019/07/12 11:41;0;2;". @ridewithvia unveils its first autonomous vehicle service as pilot to transform public transportation. Read more here - https://bit.ly/2NN0RGq  #autonomouspic.twitter.com/ohcUY17qlV";;@ridewithvia;#autonomouspic;"1149629725523890176";https://twitter.com/SmartHighwaysM/status/1149629725523890176
;2019/07/12 04:58;127;314;"A century ago, no matter how rich you were, you wouldn't be able to enjoy air conditioning, TV, smart phones, Internet, timely transportation, contact lenses, international food, antibiotics, effective dental care, a high likelihood of surviving infancy https://buff.ly/2KXbymE ";;;;"1149528308146507777";https://twitter.com/HumanProgress/status/1149528308146507777
;2019/07/11 05:34;0;1;"A Smart city is another powerful application of IoT generating curiosity among world’s population. Smart surveillance, automated transportation, smarter energy management system, water distribution, urban security and environmental monitoring. https://bit.ly/2I0ib4I  #IoTApppic.twitter.com/DeUPBA3pjK";;;#IoTApppic;"1149175024315707392";https://twitter.com/sstech_system/status/1149175024315707392
;2019/07/10 16:16;370;1965;"Not a safe environment for a fight, needless to say, I didn’t start the fight & I was smart enough not to have one with a drunk’n fool/vagina (s/o Angela my homegirl, screaming like a voice of reason to a very reasonable man.) @JANELABABY dick riding aint a form of transportation pic.twitter.com/l3jyJVVm3S";;@JANELABABY;;"1148974293210021888";https://twitter.com/real1/status/1148974293210021888
;2019/07/10 15:37;0;1;"Come see us in the Smart Transportation Pavilion at SemiCon 2019! Tomorrow at 10:30, our automotive director Allen Chen will be presenting on the future of power in transportation. #SemiCon2019pic.twitter.com/HU0kWsaSmY";;;#SemiCon2019pic;"1148964382531100672";https://twitter.com/monolithicpower/status/1148964382531100672
;2019/07/10 01:58;0;4;"20 smart buses were put into operation in Kunshan, marking the arrival of smart transportation era in the city. These smart buses are equipped with 360-degree camera and facilities for the disabled and importantly produce no carbon dioxide. pic.twitter.com/J3BjasmMJE";;;;"1148758460705599488";https://twitter.com/Kunshan_China/status/1148758460705599488
;2019/07/09 16:00;0;4;"Good morning #SEMICONWest attendees! We're kicking off day 1 strong. Find us at the Smart #MedTech and Smart Transportation Pavilion. And don't forget about the TechTALK on Thursday. pic.twitter.com/Jc3JSA5ejM";;;#SEMICONWest #MedTech;"1148607927340679168";https://twitter.com/MEMSGroup/status/1148607927340679168
;2019/07/09 13:55;11;19;"Beijing Airport World’s largest integrated transportation hub scheduled to be operational before the End of September 2019 #futureofmobility #smartcity #infrastructure #aviation #digitaltransformation @XHscitech HT @WSWMUCpic.twitter.com/iuokqQtnbO";;@XHscitech @WSWMUCpic;#futureofmobility #smartcity #infrastructure #aviation #digitaltransformation;"1148576302225678348";https://twitter.com/_smartcity_/status/1148576302225678348
;2019/07/09 12:45;3;5;"Intelligent transportation - key to #SmartCity development #Vestian Know More:http://bit.ly/2XDRhpf ";;;#SmartCity #Vestian;"1148558862900850693";https://twitter.com/VestianGlobal/status/1148558862900850693
;2019/07/09 00:41;14;29;"On the doorsteps in Esquimalt-Saanich-Sooke we are hearing that transportation is a big issue We need smart reliable transit options. @CanadianGreens will expand public transit infrastructure along with pedestrian, cycle, and car-sharing initiatives #GPC https://www.greenparty.ca/en/our-vision/green-transportation …pic.twitter.com/X5agljHRZL";;@CanadianGreens;#GPC;"1148376612636725248";https://twitter.com/DavidMerner/status/1148376612636725248
;2019/07/12 20:55;0;9;"A four day week isn't even particularly radical, we need to be pushing for a six hour day and fully paid transportation and food breaks too.";;;;"1149769145086545920";https://twitter.com/JonnySmart1/status/1149769145086545920
;2019/07/12 17:18;0;0;"EN #smartcity How technology will shape transportation in smart cities https://buff.ly/2SbgWEx  from @SmartCitiesWpic.twitter.com/MVMfrjAixL";;@SmartCitiesWpic;#smartcity;"1149714538369097729";https://twitter.com/AAsc49/status/1149714538369097729
;2019/07/12 15:55;0;0;"Located in #Istinye district of #Sarayir Land and sea transportation at your service. A #smart_home system to enhance your comfort and well-being. Spaces start at 75 m 2 Prices start at $ 397,000 For contact and inquiries: +905074000900 #Imtilak #Realestatepic.twitter.com/ezf6JF8HpR";;;#Istinye #Sarayir #smart_home #Imtilak #Realestatepic;"1149693799565864960";https://twitter.com/imtilaken/status/1149693799565864960
;2019/07/12 12:55;0;0;"India Facts - Data-driven Mobility: Improving Passenger Transportation Through Data | https://niti.gov.in/writereaddata/files/document_publication/Mobility-data.pdf …";;;;"1149648370702532610";https://twitter.com/pune_smart/status/1149648370702532610
;2019/07/11 23:56;0;1;"With the SmartDrive® program, fleets proactively eliminate risk and optimize operational performance by reducing collision frequency, exonerating drivers, lowering fuel and operational costs. http://bit.ly/2Jt17Gk  #trucking #transportation pic.twitter.com/n8f5rqptfH";;;#trucking #transportation;"1149452486723477504";https://twitter.com/SmartDriveInc/status/1149452486723477504
;2019/07/11 15:00;2;2;"Making great contacts at #Semiconwest & keeping up w/developments in #smarttransportation, #smartmanufacturing and #IoT. Notice the absence of a steering wheel on the #driverlesscar. Change is happening at a breakneck pace.pic.twitter.com/SCV44lGWPu";;;#Semiconwest #smarttransportation #smartmanufacturing #IoT #driverlesscar;"1149317440121298944";https://twitter.com/nanoGriptech/status/1149317440121298944
;2019/07/11 12:00;1;1;"Smart businesses do not look at labor costs alone anymore. They do look at market access, transportation, telecommunications infrastructure and the education and skill level of the workforce, the development of capital and the regulatory market. #ThursdayThoughts #BusinessTippic.twitter.com/84IxNV7E0W";;;#ThursdayThoughts #BusinessTippic;"1149272252304826368";https://twitter.com/farananitshikop/status/1149272252304826368
;2019/07/11 11:22;0;1;"Autonomous transportation startup May Mobility has begun developing a wheelchair-accessible prototype. Read about May Mobility's inclusive mobility plans here: https://bit.ly/2S9uLTW  #driverless #inclusivemobilitypic.twitter.com/U41AKJTXeC";;;#driverless #inclusivemobilitypic;"1149262665736511488";https://twitter.com/SmartHighwaysM/status/1149262665736511488
;2019/07/11 08:46;4;31;"#5G will play a key role in the future of #SmartCities & when combined with #AI 5G will be a driving force in smart #transportation, healthcare & smart homes that will change the way the world lives. Learn about the future of smart cities here: https://bit.ly/2XzZ5gl  @NetworkMagpic.twitter.com/LdVe7wpzg7";;@NetworkMagpic;#5G #SmartCities #AI #transportation;"1149223545341390848";https://twitter.com/Huawei_ME/status/1149223545341390848
